6505,2,54134178,
8178,2,100010704,
9102,2,63150266,
9933,2,46824950,
10694,2,38542938,
11379,2,83322114,
11632,2,58865183,
12650,2,121116754,
12927,2,113513203,
12986,2,58890638,
13229,2,117638902,
14372,2,96725363,
18448,2,19754395,
19385,2,99997768,
20232,2,19681866,
23457,2,17466889,
23665,2,24872721,
23710,2,77600127,
24029,2,10845455,
24463,2,70257453,
26268,2,40492171,
26792,2,69209626,
27208,2,20964706,
28746,2,29754041,
28919,2,17865750,
29164,2,116681599,
31852,2,5203167,
31952,2,726007,
36402,2,7801797,
36785,2,110758700,
37037,2,95865808,
37551,2,24652404,
38001,2,59293826,
38156,2,72865525,
39996,2,28375163,
42399,2,77421391,
42423,2,111535449,
43647,2,52165260,
44890,2,39551609,
44909,2,52189286,
47672,2,70428077,
47803,2,109137162,
49670,2,6024680,
52972,2,39371937,
53151,2,9539760,
54726,2,36862298,
56285,2,24366256,
57980,2,96833286,
63977,2,51999073,
64038,2,65797491,
66355,2,7698847,
66721,2,74809902,
66823,2,44412612,
67879,2,62955292,
68448,2,21961269,
70217,2,76111386,
70695,2,80190502,
76210,2,100830890,
77011,2,16495765,
77790,2,108973441,
79691,2,60644903,
80583,2,118923018,
81332,2,46192006,
81478,2,34986749,
81649,2,23949578,
84338,2,60448690,
85058,2,48902855,
86575,2,120302351,
86651,2,15786868,
87676,2,29741240,
89436,2,59250236,
89469,2,89651730,
90081,2,82713493,
90546,2,11473321,
91392,2,49140041,
92460,2,36159522,
93565,2,85440933,
93674,2,49035372,
93804,2,70783140,
94935,2,87233712,
95244,2,16988409,
95614,2,59789758,
96102,2,114196353,
97512,2,39781165,
98534,2,62476312,
99065,2,68037084,
100296,2,117138076,
100459,2,115151993,
102310,2,15796991,
102471,2,1333029,
102869,2,28679185,
105134,2,19719485,
105452,2,54394276,
108293,2,21938938,
108386,2,63675906,
108547,2,2256876,
108638,2,7830796,
110194,2,61332317,
113016,2,1453199,
113421,2,2352046,
114666,2,16894365,
120221,2,56696198,
120307,2,63059480,
124020,2,66101314,
125613,2,18342730,
125822,2,4634638,
125923,2,117081601,
126838,2,102721126,
127956,2,107869653,
128544,2,10285899,
130847,2,41422499,
130851,2,65569976,
133032,2,52462517,
134217,2,107222702,
134297,2,30880893,
135550,2,52548270,
136651,2,11748641,
136973,2,96489153,
137440,2,68675909,
137630,2,42050538,
138837,2,63862575,
138911,2,70996202,
139571,2,55907644,
141763,2,82065701,
141928,2,102438715,
142462,2,101837990,
143523,2,5277661,
144470,2,106765303,
148930,2,18710528,
